,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
586,0.93,-0.9,0.128382204,0.08927855,0.156347659,-0.689454791,23.25446262,0.03,5.948282216,0.007970659,Healthy,No
587,0.51,-0.1,0.167016129,0.08255853,0.18628856,0.328698274,1.207008511,0.41,2.737688247,0.006815911,Healthy,No
588,1.02,-0.2,0.128363636,0.087242611,0.155179922,1.790941487,16.70082322,0.82,6.573015305,0.007611273,Healthy,No
589,1.01,-0.9,0.131599598,0.097695277,0.163869519,0.813829854,26.96536128,0.11,6.163440309,0.009544367,Healthy,No
590,1.0,-0.2,0.126815416,0.087794178,0.154214624,2.026570329,17.92897121,0.8,6.484469354,0.007707818,Healthy,No
591,0.48,-0.1,0.125367573,0.079550722,0.148455289,0.202664331,0.508165193,0.38,3.233296728,0.006328317,Healthy,No
592,0.41,-0.1,0.127983871,0.080031324,0.150925238,0.191676115,-0.072906454,0.31,2.716576802,0.006405013,Healthy,No
593,0.47,-0.9,0.125814889,0.085944723,0.1523432,-1.474226599,19.81411675,-0.43,3.085139335,0.007386495,Healthy,No
594,0.94,-0.9,0.127416413,0.0916466,0.156925243,-0.486675603,21.44533251,0.04,5.990113391,0.008399099,Healthy,No
595,0.45,-0.1,0.129535354,0.081415599,0.152974547,0.330288613,0.570683416,0.35,2.941665839,0.0066285,Healthy,No
596,0.94,-0.2,0.129657603,0.091784963,0.15883038,1.589731812,12.32587954,0.74,5.918263242,0.008424479,Healthy,No
597,0.29,-0.2,0.129423077,0.050388271,0.138876711,-0.249997471,1.632938262,0.09,2.088183092,0.002538978,Healthy,No
598,0.3,-0.3,0.13627907,0.056197913,0.147400804,-0.641749488,3.490556335,0.0,2.035267056,0.003158205,Healthy,No
599,0.35,0.0,0.135951417,0.05902454,0.148199723,-0.037003877,-0.166622492,0.35,2.361677829,0.003483896,Healthy,No
600,0.88,0.0,0.138636364,0.065495383,0.153314557,1.398567698,15.94080581,0.88,5.739833284,0.004289645,Healthy,No
601,0.35,0.0,0.140160966,0.060214239,0.152535908,-0.025107425,-0.084050744,0.35,2.29454169,0.003625755,Healthy,No
602,0.36,-0.3,0.136909828,0.062619257,0.150537369,-0.293657348,2.169316097,0.06,2.391432786,0.003921171,Healthy,No
603,0.35,-0.9,0.138072654,0.067838331,0.153822798,-3.562768625,53.993125,-0.55,2.275345432,0.004602039,Healthy,No
